CLI_CONFIG_ID,RELEASE_CONFIG_ID,FW_TYPE,TITLE,FLASH_VENDOR,FLASH_GEOMETRY,FLASH_TYPE,FLASH_PN,PACKAGE_TYPE,PACKAGE_COUNT,PACKAGE_DENSITY,PACKAGE_DIE_COUNT,CAPACITY_RAW,CAPACITY_USER,512_LBA_COUNT,512+DIF_LBA_COUNT,520_LBA_COUNT,524_LBA_COUNT,528_LBA_COUNT,4096_LBA_COUNT,4096+DIF_LBA_COUNT,NON_512BYTE_SECTOR_SIZE,RAISE_ON,VERSION_DEMO,VERSION_RELEASE,TOPO_ID,SATA_SPEED,WRITE_IOPS,FW_FUSE,INDUSTRIAL_FEATURES,CLI_BUILD_ID,RELEASE_BUILD_ID,VALID_FLAG,RELEASE_STATUS,FW_WORKSHEET,VALIDATED,ASIC_SUPPORT
C27320,27320,SF-2281-Gold,SF-2281-Gold 120GB Micron25 MLC BGA 4xMT29F256G08CKCABH3,Micron,25,MLC,MT29F256G08CKCABH3,BGA,4,256,QDP,128,120,234441648,,,,,,,No,Yes,TBD,TBD,2Q-1C-2D-4L,6,0,FC00,No,PP-C01391,PP-R01391,Y,External,Gold,0,B01
C27321,27321,SF-2281-Gold,SF-2281-Gold 240GB Micron25 MLC BGA 8xMT29F256G08CKCABH3,Micron,25,MLC,MT29F256G08CKCABH3,BGA,8,256,QDP,256,240,468862128,,,,,,,No,Yes,TBD,TBD,2Q-2C-2D-4L,6,0,FC00,No,PP-C00071,PP-R00071,Y,External,Gold,0,B01
C27322,27322,SF-2281-Gold,SF-2281-Gold 360GB Micron25 MLC BGA 12xMT29F256G08CKCABH3,Micron,25,MLC,MT29F256G08CKCABH3,BGA,12,256,QDP,384,360,703282608,,,,,,,No,Yes,TBD,TBD,2Q-4C-2D-3L-S,6,0,FC00,No,PP-C01392,PP-R01392,Y,External,Gold,0,B01
C27323,27323,SF-2281-Gold,SF-2281-Gold 480GB Micron25 MLC BGA 16xMT29F256G08CKCABH3,Micron,25,MLC,MT29F256G08CKCABH3,BGA,16,256,QDP,512,480,937703088,,,,,,,No,Yes,TBD,TBD,2Q-4C-2D-4L,6,0,FC00,No,PP-C00073,PP-R00073,Y,External,Gold,0,B01
C27324,27324,SF-2281-Gold-Intel,SF-2281-Gold-Intel 120GB Intel25 eMLC BGA 4xPF29F32B16NCME1,Intel,25,eMLC,PF29F32B16NCME1,BGA,4,256,QDP,128,120,234441648,,,,,,,No,Yes,TBD,TBD,2Q-2C-1D-4L,6,0,FC00,No,PP-C01866,PP-R01866,Y,External,Intel,0,B01
C27325,27325,SF-2281-Gold-LC,SF-2281-Gold-Intel-LC 120GB Intel25 eMLC BGA 4xPF29F32B16NCME1,Intel,25,eMLC,PF29F32B16NCME1,BGA,4,256,QDP,128,120,234441648,,,,,,,No,Yes,TBD,TBD,2Q-2C-1D-4L,6,0,FC00,No,PP-C01866,PP-R01866,Y,External,Intel,0,B01
C27326,27326,SF-2281-Gold-LC,SF-2281-Gold-Intel-LC 180GB Intel25 eMLC BGA 3xPF29F64B16PCME1,Intel,25,eMLC,PF29F64B16PCME1,BGA,3,512,8DP,192,180,351651888,,,,,,,No,Yes,TBD,TBD,2Q-4C-1D-3L,6,0,FC00,No,PP-C01863,PP-R01863,Y,External,Intel,2,B01
C27327,27327,SF-2281-Gold-LC,SF-2281-Gold-Intel-LC 240GB Intel25 eMLC BGA 4xPF29F64B16PCME1,Intel,25,eMLC,PF29F64B16PCME1,BGA,4,512,8DP,256,240,468862128,,,,,,,No,Yes,TBD,TBD,2Q-4C-1D-4L,6,0,FC00,No,PP-C01864,PP-R01864,Y,External,Intel,2,B01
C27328,27328,SF-2281-Gold-LC,SF-2281-Gold-Intel-LC 30GB Intel25 eMLC BGA 4xPF29F64G08LCME1 (RAISE OFF),Intel,25,eMLC,PF29F64G08LCME1,BGA,4,64,SDP,32,30,58626288,,,,,,,No,No,TBD,TBD,1Q-1C-1D-4L,6,0,FC00,No,PP-C01865,PP-R01865,Y,External,Intel,0,B01
C27329,27329,SF-2281-Gold,SF-2281-Gold 96GB Toshiba24 MLC TSOP 6xTH58TEG7D2HTA20 (RAISE OFF),Toshiba,24,MLC,TH58TEG7D2HTA20,TSOP,6,128,DDP,96,96,187557552,,,,,,,No,No,TBD,TBD,2Q-2C-1D-3L,6,0,FC00,No,PP-C01400,PP-R01400,Y,External,Gold,0,B01
C27330,27330,SF-2281-Gold,SF-2281-Gold 80GB Toshiba24 MLC TSOP 6xTH58TEG7D2HTA20,Toshiba,24,MLC,TH58TEG7D2HTA20,TSOP,6,128,DDP,96,80,156301488,,,,,,,No,Yes,TBD,TBD,2Q-2C-1D-3L,6,0,FC00,No,PP-C01400,PP-R01400,Y,External,Gold,0,B01
C27331,27331,SF-2281-Gold,SF-2281-Gold 120GB Toshiba24 MLC TSOP 16xFT64G08UCT1-1D,Toshiba,24,MLC,FT64G08UCT1-1D,TSOP,16,64,SDP,128,120,234441648,,,,,,,No,Yes,TBD,TBD,2Q-2C-1D-4L-S,6,0,FC00,No,PP-C01401,PP-R01401,Y,External,Kingston,0,B01
C27332,27332,SF-2281-Gold,SF-2281-Gold 64GB Toshiba19 MLC Type C BGA 4xTH58TEG7DDJBA4C (RAISE OFF)*,Toshiba,19,MLC,TH58TEG7DDJBA4C,BGA,4,128,DDP,64,64,125045424,,,,,,,No,No,TBD,TBD,2Q-1C-1D-4L,6,0,FC00,No,PP-C01404,PP-R01404,N,External,Avant,0,B01
C27333,27333,SF-2281-Gold,SF-2281-Gold 96GB Toshiba19 MLC Type C BGA 6xTH58TEG7DDJBA4C (RAISE OFF),Toshiba,19,MLC,TH58TEG7DDJBA4C,BGA,6,128,DDP,96,96,187557552,,,,,,,No,No,TBD,TBD,2Q-2C-1D-3L,6,0,FC00,No,PP-C01405,PP-R01405,Y,External,Gold,0,B01 & B02
C27334,27334,SF-2281-Gold,SF-2281-Gold 128GB Toshiba19 MLC Type C BGA 8xTH58TEG7DDJBA4C (RAISE OFF),Toshiba,19,MLC,TH58TEG7DDJBA4C,BGA,8,128,DDP,128,128,250069680,,,,,,,No,No,TBD,TBD,2Q-2C-1D-4L,6,0,FC00,No,PP-C01406,PP-R01406,Y,External,Gold,0,B01 & B02
C27335,27335,SF-2281-Gold,SF-2281-Gold 256GB Toshiba19 MLC Type C BGA 16xTH58TEG7DDJBA4C (RAISE OFF),Toshiba,19,MLC,TH58TEG7DDJBA4C,BGA,16,128,DDP,256,256,500118192,,,,,,,No,No,TBD,TBD,2Q-4C-1D-4L-S,6,0,FC00,No,PP-C01407,PP-R01407,Y,External,Gold,0,B01 & B02
C27336,27336,SF-2281-Gold,SF-2281-Gold 128GB Toshiba19 MLC Type C BGA 4xTH58TEG8DDJBA8C (RAISE OFF),Toshiba,19,MLC,TH58TEG8DDJBA8C ,BGA,4,256,QDP,128,128,250069680,,,,,,,No,No,TBD,TBD,2Q-2C-1D-4L,6,0,FC00,No,PP-C01406,PP-R01406,Y,External,Gold,0,B01 & B02
C27337,27337,SF-2281-Gold,SF-2281-Gold 256GB Toshiba19 MLC Type C BGA 8xTH58TEG8DDJBA8C (RAISE OFF),Toshiba,19,MLC,TH58TEG8DDJBA8C ,BGA,8,256,QDP,256,256,500118192,,,,,,,No,No,TBD,TBD,2Q-4C-1D-4L,6,0,FC00,No,PP-C01408,PP-R01408,Y,External,Gold,0,B01 & B02
C27338,27338,SF-2281-Gold,SF-2281-Gold 384GB Toshiba19 MLC Type C BGA 12xTH58TEG8DDJBA8C (RAISE OFF),Toshiba,19,MLC,TH58TEG8DDJBA8C ,BGA,12,256,QDP,384,384,750166704,,,,,,,No,No,TBD,TBD,2Q-8C-1D-3L,6,0,FC00,No,PP-C01409,PP-R01409,Y,External,Gold,0,B01 & B02
C27339,27339,SF-2281-Gold,SF-2281-Gold 512GB Toshiba19 MLC Type C BGA 16xTH58TEG8DDJBA8C (RAISE OFF),Toshiba,19,MLC,TH58TEG8DDJBA8C ,BGA,16,256,QDP,512,512,1000215216,,,,,,,No,No,TBD,TBD,2Q-8C-1D-4L,6,0,FC00,No,PP-C01410,PP-R01410,Y,External,Gold,0,B01 & B02
C27340,27340,SF-2281-Gold,SF-2281-Gold 256GB Toshiba19 MLC Type C BGA 4xTH58TEG9DDJBA89 (RAISE OFF),Toshiba,19,MLC,TH58TEG9DDJBA89,BGA,4,512,8DP,256,256,500118192,,,,,,,No,No,TBD,TBD,2Q-2C-2D-4L,6,0,FC00,No,PP-C01411,PP-R01411,Y,External,Gold,0,B01 & B02
C27341,27341,SF-2281-Gold,SF-2281-Gold 384GB Toshiba19 MLC Type C BGA 6xTH58TEG9DDJBA89 (RAISE OFF),Toshiba,19,MLC,TH58TEG9DDJBA89,BGA,6,512,8DP,384,384,750166704,,,,,,,No,No,TBD,TBD,2Q-4C-2D-3L,6,0,FC00,No,PP-C01412,PP-R01412,Y,External,Gold,0,B01 & B02
